File Name,Actor,Sex,Male,Female
studio010/clip/s010_clip_actor019_impro4_14.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_1.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_4.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_2.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_16.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_12.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_2_4a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_3a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_2.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_7.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_1a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_9.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_4.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_8.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_12.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_13.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_7.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_4.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_2_3a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_3.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_3b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_2b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_4a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_11.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_5.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_4a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_1b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_7.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_2_4a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_4a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_2_3a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_2.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_2_4b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_2a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_13.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_9.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_4.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_9.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_14.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_12.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_9.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_4b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_6.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_2.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_3b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_5.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_2_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_1b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_10.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_2_2b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_5b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_10.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_12.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_8.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_1b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_1.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_1a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_5b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_3.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_5.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_5b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_2_2b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_2_4b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_3a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_2_2b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_7.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script2_1_2a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_3b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_6.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro3_6.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_2_5a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro4_16.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_4.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script1_1_2b.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro1_5.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro2_10.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_script3_1_3a.wav,actor019,M,1,0
studio010/clip/s010_clip_actor019_impro5_3.wav,actor019,M,1,0
